time,kph,mps,a,delta_x,x,slope,tractionForce,rollingResist,gradeResist,airBrk,approxTf
2628.0,12.37091053679573,3.4363640379988136,-0.0044054444353919765,3.4341613157811177,27861.57931254513,0,0.0,-0.0044054444353919765,-0.0,0,0
2629.0,12.355050936828318,3.431958593563422,-0.004404462991352847,3.4297563620677454,27865.013473860912,0,0.0,-0.004404462991352847,-0.0,0,0
2630.0,12.339194870059448,3.427554130572069,-0.004403481813504036,3.425352389665317,27868.44323022298,0,0.0,-0.004403481813504036,-0.0,0,0
2631.0,12.323342335530834,3.423150648758565,-0.004402500901754469,3.4209493983076875,27871.868582612646,0,0.0,-0.004402500901754469,-0.0,0,0
2632.0,12.307493332284517,3.4187481478568102,-0.004401520256013112,3.4165473877288037,27875.289532010953,0,0.0,-0.004401520256013112,-0.0,0,0
2633.0,12.29164785936287,3.414346627600797,-0.004400539876188968,3.412146357662703,27878.706079398682,0,0.0,-0.004400539876188968,-0.0,0,0
2634.0,12.27580591580859,3.409946087724608,-0.004399559762191079,3.407746307843513,27882.118225756345,0,0.0,-0.004399559762191079,-0.0,0,0
2635.0,12.259967500664702,3.405546527962417,-0.004398579913928527,3.403347238005453,27885.525972064188,0,0.0,-0.004398579913928527,-0.0,0,0
2636.0,12.244132612974559,3.4011479480484885,-0.004397600331310432,3.398949147882833,27888.929319302195,0,0.0,-0.004397600331310432,-0.0,0,0
2637.0,12.228301251781842,3.396750347717178,-0.004396621014245953,3.394552037210055,27892.328268450077,0,0.0,-0.004396621014245953,-0.0,0,0
2638.0,12.212473416130555,3.392353726702932,-0.004395641962644288,3.3901559057216097,27895.722820487288,0,0.0,-0.004395641962644288,-0.0,0,0
2639.0,12.196649105065037,3.387958084740288,-0.004394663176414672,3.3857607531520806,27899.11297639301,0,0.0,-0.004394663176414672,-0.0,0,0
2640.0,12.180828317629944,3.3835634215638732,-0.00439368465546638,3.3813665792361403,27902.498737146165,0,0.0,-0.00439368465546638,-0.0,0,0
2641.0,12.165011052870264,3.379169736908407,-0.004392706399708727,3.3769733837085525,27905.8801037254,0,0.0,-0.004392706399708727,-0.0,0,0
2642.0,12.149197309831314,3.374777030508698,-0.004391728409051064,3.3725811663041725,27909.25707710911,0,0.0,-0.004391728409051064,-0.0,0,0
